incident_id,year,name
274219,2015,Metro School
342262,2015,Salisbury High
311031,2015,Reaching All Minds Academy
411473,2015,BETHESDA CHRISTIAN ACADEMY
326726,2015,Bethel Middle
418127,2015,Central Elementary
427813,2015,Williams Academy
427834,2015,W H Robinson Elementary
337077,2015,CHRIST COVENANT SCHOOL
376601,2015,EPIPHANY SCHOOL
378229,2015,Carolina Forest Elementary
472395,2015,FELLOWSHIP CHRISTIAN ACADEMY
312152,2015,ANNUNCIATION CATHOLIC SCHOOL
283377,2015,Southeast Elementary
474737,2015,Southeast Elementary
279394,2015,Kinston High
309238,2015,Southeast Elementary
299036,2015,Southeast Elementary
320099,2015,Children's Village Academy
400256,2015,Children's Village Academy
395784,2015,Southeast Elementary
443539,2015,Children's Village Academy
349100,2015,Southeast Elementary
306698,2015,Southeast Elementary
368595,2015,Whiteville High
288323,2015,North Brunswick High
436865,2015,Chadbourn Middle
477563,2015,Holly Tree Elementary
277393,2015,Career Readiness Academy at Mosl
277384,2015,WILMINGTON SDA SCHOOL
367694,2015,Isaac M Bear Early College High
301394,2015,Williston Middle
322671,2015,Williston Middle
382726,2015,New Hanover High
461984,2015,Lake Forest Academy
468968,2015,Williston Middle
375719,2015,Gregory School of Math Science a
440001,2015,Gregory School of Math Science a
292536,2015,Douglass Academy
409319,2015,Douglass Academy
429938,2015,Gregory School of Math Science a
373515,2015,Lake Forest Academy
455284,2015,Lake Forest Academy
328456,2015,Williston Middle
277389,2015,Williston Middle
443557,2015,Lake Forest Academy
285881,2015,D.C. Virgo  Preparatory Academy
324901,2015,Williston Middle
463966,2015,Lake Forest Academy
442099,2015,Wrightsboro Elementary
306061,2015,Hoke County High
311556,2015,J W McLauchlin Elementary
388549,2015,Magnolia Elementary
298489,2015,W H Knuckles
2774309,2015,Tanglewood Elementary
376647,2015,Rowland Norment Elementary
366119,2015,Lumberton Senior High
322688,2015,W H Knuckles
305246,2015,Lumberton Junior High
425962,2015,Butler Avenue Elementary
425966,2015,Butler Avenue Elementary
474388,2015,HARVEST PREPARATORY ACADEMY
474367,2015,College Lakes Elementary
306040,2015,Massey Hill Classical High
366697,2015,J W Coon Elementary
276429,2015,Ponderosa Elementary
381196,2015,Morganton Road Elementary
325585,2015,Luther Nick Jeralds Middle
308055,2015,FLAMING SWORD CHRISTIAN ACADEMY
295241,2015,United Community School
410956,2015,Nations Ford Elementary
395245,2015,MOSAIC SCHOOL
400600,2015,Lincoln Heights Academy
350714,2015,University Park Creative Arts
275650,2015,West Charlotte High
379659,2015,West Charlotte High
340166,2015,Oaklawn Language Academy
368585,2015,Devonshire Elementary
458008,2015,Lawrence Orr Elementary
408641,2015,Briarwood Elementary
318640,2015,Devonshire Elementary
436208,2015,Cochrane Collegiate Academy
449827,2015,West Mecklenburg High
274273,2015,ALEXANDER YOUTH NETWORK
428247,2015,Barringer Academic Center
468347,2015,Ashley Park PreK-8 School
326645,2015,Thomasboro Academy
455440,2015,Barringer Academic Center
436549,2015,Aristotle Preparatory Academy
440134,2015,Bruns Academy
314671,2015,Thomasboro Academy
325583,2015,Kennedy Charter
274268,2015,PAW CREEK CHRISTIAN ACADEMY
274271,2015,PAW CREEK CHRISTIAN ACADEMY
297229,2015,Druid Hills Academy
282802,2015,Sugar Creek Charter
446505,2015,Turning Point Academy
327189,2015,Turning Point Academy
446502,2015,Winterfield Elementary
347612,2015,Hawthorne High
291097,2015,Commonwealth High
366588,2015,Hawthorne High
397390,2015,Billingsville Elementary
288124,2015,Billingsville Elementary
443981,2015,TRINITY EPISCOPAL SCHOOL
474374,2015,BAL-PERAZIM CHRISTIAN ACADEMY
451074,2015,SACRED HEART CATHOLIC SCHOOL
414880,2015,Salisbury High
381191,2015,Pinnacle Elementary
387634,2015,Homebound/ Hospital Education
338310,2015,Early College of Forsyth Co
475311,2015,OUR LADY OF MERCY SCHOOL
382809,2015,OUR LADY OF MERCY SCHOOL
324909,2015,Ibraham Elementary
408046,2015,Quality Education Academy
416635,2015,Salisbury High
338312,2015,Main Street Academy
439330,2015,Fairview Elementary
281779,2015,Fairview Elementary
298060,2015,Johnson Street Global Studies
347800,2015,Douglass Elementary
375690,2015,Bragg Street Academy
477504,2015,Bragg Street Academy
419359,2015,Southern Lee High School
446640,2015,Stokesdale Elementary
392481,2015,Hampton Elem Univ Partnership
458496,2015,Washington Elementary
477521,2015,Washington Elementary
394570,2015,Clara J Peck Elementary
321208,2015,Clara J Peck Elementary
385585,2015,Bessemer Elementary
364855,2015,Erwin Montessori
293199,2015,David D Jones Elementary
455794,2015,Wiley Accel/Enrichment
282796,2015,Allen Middle
351165,2015,FREEDOM CENTER FOR CREATIVE ARTS
432503,2015,Archer Elementary
314095,2015,The Academy at Smith
458488,2015,Edwin A Alderman Elementary
330596,2015,Middle College High @ NC A&T
436850,2015,Middle College High @ NC A&T
472427,2015,Northside Elementary
455724,2015,Goldsboro High
354083,2015,Edgewood Cmty Developmental
390121,2015,Wayne Middle / High Academy
351428,2015,Wayne School of Engineering
450578,2015,ST MARY SCHOOL
432063,2015,School Street Elementary
328961,2015,Dillard Middle
326729,2015,Dillard Middle
445487,2015,Eastern Wayne Middle
439508,2015,Henderson Collegiate
336085,2015,Wake Forest Middle School
405694,2015,Hunter Elementary
367643,2015,Ligon Middle
414870,2015,Ligon Middle
322722,2015,Partnership Elementary
311329,2015,Daniels Middle
431703,2015,UPPER ROOM CHRISTIAN ACADEMY
326668,2015,KIPP Durham College Preparatory
427859,2015,Healthy Start Academy
308063,2015,KIPP Durham College Preparatory
475295,2015,Healthy Start Academy
461977,2015,Healthy Start Academy
400676,2015,Global Scholars Academy
408041,2015,Durham School of the Arts
471767,2015,Burton Elementary
326676,2015,Reaching All Minds Academy
339164,2015,Maureen Joy Charter School
444950,2015,Holton Career and Resource Cente
453966,2015,Boiling Springs Elementary
339769,2015,Reaching All Minds Academy
416592,2015,Salisbury High
334418,2015,Reaching All Minds Academy
327196,2015,Y E Smith Elementary
366633,2015,FELLOWSHIP BAPTIST ACADEMY
314123,2015,Holton Career and Resource Cente
329285,2015,Maureen Joy Charter School
456044,2015,Lakeview School
279738,2015,TRINITY SCHOOL OF DURHAM & CHAPEL HILL
324962,2015,The Institute Development Young
475299,2015,Hillside New Tech High
356898,2015,FAITH ASSEMBLY CHRISTIAN ACADEMY
444952,2015,Lakewood Montessori Middle
412633,2015,INTERNATIONAL MONTESSORI SCHOOL
382787,2015,J D Clement Early College HS
476987,2015,FAITH ASSEMBLY CHRISTIAN ACADEMY
352234,2015,Morehead Montessori
315204,2015,Lowe's Grove Middle
390417,2015,Baskerville Elementary
401282,2015,Baskerville Elementary
435748,2015,Baskerville Elementary
475305,2015,J W Parker Middle
2684372,2015,Williford Elementary
443262,2015,G R Edwards Middle
415582,2015,OUR LADY OF PERPETUAL HELP CATHOLIC SCHOOL
340884,2015,Elm City Middle
304287,2015,Junius H Rose High
311584,2015,Vidant  Health
376356,2015,Lakeforest Elementary
374899,2015,Lakeforest Elementary
281745,2015,Vidant  Health
454819,2015,Vidant  Health
409356,2015,Chaloner Middle School
369575,2015,Roanoke Rapids High School
342272,2015,Stokes
435879,2015,Princeville Elementary
455809,2015,Eastern Elementary
289584,2015,Washington High
339774,2015,Milton M Daniels Learning Cntr
474732,2015,B C Ed Tech Center
317279,2015,Sheep-Harney Elementary
427065,2015,P W Moore Elementary
