incident_id,year,name,,killed,injured,Total
274219,2015,Metro School,,0,1,1
342262,2015,Salisbury High,,1,0,1
311031,2015,Reaching All Minds Academy,,1,2,3
411473,2015,BETHESDA CHRISTIAN ACADEMY,,0,1,1
326726,2015,Bethel Middle,,1,0,1
418127,2015,Central Elementary,,0,1,1
427813,2015,Williams Academy,,1,0,1
427834,2015,W H Robinson Elementary,,0,1,1
337077,2015,CHRIST COVENANT SCHOOL,,1,0,1
376601,2015,EPIPHANY SCHOOL,,0,1,1
378229,2015,Carolina Forest Elementary,,1,0,1
472395,2015,FELLOWSHIP CHRISTIAN ACADEMY,,1,0,1
312152,2015,ANNUNCIATION CATHOLIC SCHOOL,,1,1,2
283377,2015,Southeast Elementary,,0,1,1
474737,2015,Southeast Elementary,,1,0,1
279394,2015,Kinston High,,0,1,1
309238,2015,Southeast Elementary,,0,1,1
299036,2015,Southeast Elementary,,0,1,1
320099,2015,Children's Village Academy,,0,1,1
400256,2015,Children's Village Academy,,0,1,1
395784,2015,Southeast Elementary,,0,3,3
443539,2015,Children's Village Academy,,0,2,2
349100,2015,Southeast Elementary,,0,1,1
306698,2015,Southeast Elementary,,0,1,1
368595,2015,Whiteville High,,1,1,2
288323,2015,North Brunswick High,,0,1,1
436865,2015,Chadbourn Middle,,1,0,1
477563,2015,Holly Tree Elementary,,1,0,1
277393,2015,Career Readiness Academy at Mosl,,0,1,1
277384,2015,WILMINGTON SDA SCHOOL,,0,1,1
367694,2015,Isaac M Bear Early College High,,0,1,1
301394,2015,Williston Middle,,0,1,1
322671,2015,Williston Middle,,0,1,1
382726,2015,New Hanover High,,0,1,1
461984,2015,Lake Forest Academy,,0,1,1
468968,2015,Williston Middle,,1,4,5
375719,2015,Gregory School of Math Science a,,0,1,1
440001,2015,Gregory School of Math Science a,,0,1,1
292536,2015,Douglass Academy,,0,1,1
409319,2015,Douglass Academy,,0,1,1
429938,2015,Gregory School of Math Science a,,0,1,1
373515,2015,Lake Forest Academy,,0,1,1
455284,2015,Lake Forest Academy,,0,1,1
328456,2015,Williston Middle,,1,0,1
277389,2015,Williston Middle,,0,1,1
443557,2015,Lake Forest Academy,,0,1,1
285881,2015,D.C. Virgo  Preparatory Academy,,0,1,1
324901,2015,Williston Middle,,0,1,1
463966,2015,Lake Forest Academy,,0,1,1
442099,2015,Wrightsboro Elementary,,1,0,1
306061,2015,Hoke County High,,0,1,1
311556,2015,J W McLauchlin Elementary,,0,1,1
388549,2015,Magnolia Elementary,,1,0,1
298489,2015,W H Knuckles,,1,0,1
2774309,2015,Tanglewood Elementary,,0,1,1
376647,2015,Rowland Norment Elementary,,0,3,3
366119,2015,Lumberton Senior High,,0,1,1
322688,2015,W H Knuckles,,1,0,1
305246,2015,Lumberton Junior High,,0,1,1
425962,2015,Butler Avenue Elementary,,0,1,1
425966,2015,Butler Avenue Elementary,,0,2,2
474388,2015,HARVEST PREPARATORY ACADEMY,,0,1,1
474367,2015,College Lakes Elementary,,0,1,1
306040,2015,Massey Hill Classical High,,0,2,2
366697,2015,J W Coon Elementary,,0,1,1
276429,2015,Ponderosa Elementary,,0,1,1
381196,2015,Morganton Road Elementary,,0,2,2
325585,2015,Luther Nick Jeralds Middle,,1,0,1
308055,2015,FLAMING SWORD CHRISTIAN ACADEMY,,0,1,1
295241,2015,United Community School,,0,1,1
410956,2015,Nations Ford Elementary,,0,1,1
395245,2015,MOSAIC SCHOOL,,0,1,1
400600,2015,Lincoln Heights Academy,,1,0,1
350714,2015,University Park Creative Arts,,0,1,1
275650,2015,West Charlotte High,,2,0,2
379659,2015,West Charlotte High,,1,0,1
340166,2015,Oaklawn Language Academy,,0,2,2
368585,2015,Devonshire Elementary,,0,1,1
458008,2015,Lawrence Orr Elementary,,1,0,1
408641,2015,Briarwood Elementary,,1,0,1
318640,2015,Devonshire Elementary,,2,0,2
436208,2015,Cochrane Collegiate Academy,,1,0,1
449827,2015,West Mecklenburg High,,0,1,1
274273,2015,ALEXANDER YOUTH NETWORK,,0,1,1
428247,2015,Barringer Academic Center,,0,4,4
468347,2015,Ashley Park PreK-8 School,,0,1,1
326645,2015,Thomasboro Academy,,0,1,1
455440,2015,Barringer Academic Center,,0,1,1
436549,2015,Aristotle Preparatory Academy,,1,1,2
440134,2015,Bruns Academy,,1,0,1
314671,2015,Thomasboro Academy,,0,1,1
325583,2015,Kennedy Charter,,0,1,1
274268,2015,PAW CREEK CHRISTIAN ACADEMY,,1,0,1
274271,2015,PAW CREEK CHRISTIAN ACADEMY,,0,1,1
297229,2015,Druid Hills Academy,,3,0,3
